course_name,course_slug,course_technology,course_description,course_topic,course_description_short
Power Query and Data Modeling,power-query-and-data-modeling,powerbi,"Data needs to be transformed and reshaped to meet our reporting needs. This process is called data modeling and one of the best ways to perform it is with Power Query. 
Power Query is a data preparation and transformation engine, originally introduced as an Excel 2010 add-on. It is widely available within Microsoft products, such as Power BI, Excel, Azure, and Dataverse. Power Query connects to multiple data sources, including SQL DB, Rest API, csv, JSON, Google Analytics, Web, etc. It provides the same user experience and data transformations regardless of the source.
In this course, you will learn how to use Power Query to perform data modeling to prepare your data for analysis with BI tools like Power BI.",data processing,Microsoft’s universal data transformation tool Power Query enables you to prepare data for reporting. It comes with a graphical interface and allows to get data from multiple sources.
Introduction to DAX,introduction-to-dax,powerbi,"Prerequisite for the course: 
Power Query and Data Modeling
DAX (Data Analysis Expressions) is a formula and query language used in Power BI to create calculated columns, measures, and custom tables. Knowing how to use DAX will take your Power BI analysis skills to the next level.
In this course, we will show you how to create custom functions, which will help you build sophisticated business reports in Power BI. DAX is easy to learn, especially if you have used Microsoft Excel in the past, as it includes some of the same functions. However, DAX also contains several functions that make the work with relational data easier.",programming,"Learn Microsoft’s native formula and query language. You can use it with software, such as Power Pivot, Power BI, and SQL Server Analysis Services"
Building Business Reports Using Power BI,building-business-reports-using-power-bi,powerbi,"Prerequisites for the course: 
Power Query and Data Modeling
Intro to DAX
In this course, we put some meat on the bones and introduce data visualizations. After all, the main reason why you use Power Query, data modeling, DAX, and Power BI is to create meaningful business reports.
In this course, you will learn how to create reports using features, such as shapes, slicers, maps, matrix tables, charts, the interactive tooltip, bookmarks, and more. By the end of the course, you will be able to create a beautiful, interactive dashboard from scratch.",data analysis,"Learn how to create interactive, useful, and informative business reports in Power BI"
The Machine Learning Process A-Z,learn-machine-learning-process-a-z,python,"Data science education focuses too much on the algorithm itself. In reality, we can have only four lines of code and use them for a variety of problems. The heavy lift of an ML model is the end-to-end process. Jeff Li and Ken Jee walk you step-by-step through this process, so you can successfully take your next project from start to finish. You will learn everything you need to know to set your projects up for success. The Machine Learning Process A-Z course gives you a deep understanding of what machine learning really is. It helps you understand when you should and shouldn’t use this powerful tool. Jeff and Ken break down the specifics of the different problems you can encounter and how machine learning is used in specific domains. In the second part of the course, you will learn the entire modeling process. Jeff and Ken show you how to pull real results and make the ML model work for others, not just yourself. You will learn how to perform essential steps like data preprocessing. In this section, they also show you how to deal with null values and outliers. Next, you’ll see how to explore your data to frame your analysis. Additionally, the course deals with some of the visualization techniques that can help you to see the relationships in your data. After that, we go into feature engineering—one of the most important steps for improving your model’s results. That leads to cross-validation and how to handle bias and variance trade-off in your analysis. Finally, the instructors touch briefly on the model tuning process and how to productionize your work and documentation.",machine learning,There is so much more to data science than just model tuning. This course covers the entire end-to-end machine learning process—from scoping the problem all the way to its productionization.
The Machine Learning Process A-Z,learn-machine-learning-process-a-z,python,"Data science education focuses too much on the algorithm itself. In reality, we can have only four lines of code and use them for a variety of problems. The heavy lift of an ML model is the end-to-end process. Jeff Li and Ken Jee walk you step-by-step through this process, so you can successfully take your next project from start to finish. You will learn everything you need to know to set your projects up for success. The Machine Learning Process A-Z course gives you a deep understanding of what machine learning really is. It helps you understand when you should and shouldn’t use this powerful tool. Jeff and Ken break down the specifics of the different problems you can encounter and how machine learning is used in specific domains. In the second part of the course, you will learn the entire modeling process. Jeff and Ken show you how to pull real results and make the ML model work for others, not just yourself. You will learn how to perform essential steps like data preprocessing. In this section, they also show you how to deal with null values and outliers. Next, you’ll see how to explore your data to frame your analysis. Additionally, the course deals with some of the visualization techniques that can help you to see the relationships in your data. After that, we go into feature engineering—one of the most important steps for improving your model’s results. That leads to cross-validation and how to handle bias and variance trade-off in your analysis. Finally, the instructors touch briefly on the model tuning process and how to productionize your work and documentation.",machine learning,Learn what goes on beneath the surface of machine learning algorithms. Leverage the knowledge for your projects and your business. This course covers the entire end-to-end machine learning process—from scoping the problem all the way to its productionization.
Working with Text Files in Python,working-with-text-files-in-python,python,"By completing this course, you’ll obtain a comprehensive set of theoretical and practical tools to understand and handle raw data. We will extensively cover the difference between a file and file object, reading and parsing, and structured and unstructured data. Then, we’ll dive into the complex world of data connectivity by solving hands-on tasks in Python with *.txt, *.json, *.xlsx, and *.csv formats. The more you learn about data science and become an authentic practitioner, the more you realize that you’ll be independent in your research and making your predictions if (and only if) you can manage your data by yourself.",programming,"Covering the essentials and providing hands-on experience working with *.csv, *.txt, *.json, and other types of text files in Python. With these tools under your belt, you’ll be an independent analyst, ready to gain more insights from your data."
Intermediate Python Programming,intermediate-python-programming,python,"This course is short yet intense. We assume you’re no stranger to Jupyter and Python fundamentals, such as conditionals, functions, sequences, and iterations. Nevertheless, a lack of experience working with text data, list comprehensions, and anonymous (Lambda) functions would immediately reveal to your data science colleagues that coding in Python hasn’t become second nature. In the following sections, we explain these intermediate programming tools in detail and provide an extensive set of exercises to ensure your ability to comply with today’s best practices in the field.",programming,"This course teaches you how to work with text data, list comprehensions, anonymous (Lambda) functions, and other Python tools that will be your indispensable stepping stones to becoming an advanced Python user. "
Advanced SQL,advanced-sql,sql,"Unlike some other programming languages, SQL’s syntax is quite intuitive to understand and use, facilitating many to take their first steps toward working with relational database management systems (RDBMS). But knowing how to apply SQL’s basic instruments—such as aggregate functions, joins, and stored procedures—won’t allow you to reach its full potential. In this course, we’ll extensively cover window functions, common table expressions, and temporary tables to enrich your skill set and toolbox for handling relational databases and reveal plenty of options for data retrieval. ",programming,"Learn and apply MySQL window functions, common table expressions, and temporary tables to gain a competitive advantage over analysts using SQL. "
FP&A: Building a Company's Budget,fpa-building-a-company-budget,excel,"Financial Planning and Analysis (FP&A) teams play a crucial role in business operations. FP&A analysts help with financial planning, budgeting, and forecasting. They analyze historical financial data and prepare projections under various scenarios to facilitate data-driven decision-making.

The Financial Planning and Analysis (FP&A) function is distinct from accounting as it is increasingly forward-looking. It focuses on the drivers of financial results and on what and why is likely to happen in the future.
This FP&A course will guide you through the core principles of financial planning and analysis and help you understand the complete budget preparation process. We touch on several topics, including basic accounting transactions, core financial statements, revenue and expense forecasting, working capital planning and estimation, fixed assets roll forward, cash flow calculation, and more. 

We discuss why firms need to prepare Annual Business Plans (ABP), the difference between budgeting and forecasting, the main techniques used in financial planning, and who is involved in the preparation and sign-off of the ABP. These are crucial skills that help FP&A professionals identify cost-saving, revenue generation, and investment opportunities in the companies and industries they work for. 
We complete the FP&A course with a practical example of preparing a complete budget model from scratch in Excel.

Enhance your finance career by joining the thousands of professionals who have already completed this course. Sign up now to master the art of financial planning and analysis!",financial analysis,"The FP&A course will guide you through the process of financial planning and analysis, including budgeting, forecasting, and performance measurement. Throughout thå lessons, you will work on real-world case studies that will help you apply your new skills in a practical setting."
Fixed Income Investments,fixed-income-investments,excel,"This Fixed Income Investments course contains everything you need to know about fixed income securities. 
You will cultivate an extensive understanding of bonds’ features, markets, and the most important aspects of valuation.

First, we introduce you to the basic terms you will use as a fixed income analyst or investor. We discuss the concepts of price and future value, principal and coupon payments, par value, and maturity date.

We explain the difference between fixed-rate and floating-rate bonds, the meaning of sinking fund provisions, typical bond structures, and some examples of positive and negative covenants. Then, we discuss fixed income markets, the major types of fixed income securities, and the mechanics of issuing bonds in primary and secondary markets.

In the last section of the fixed income course, you can practice what you’ve learned. We show you how to calculate a bond’s price and yield-to-maturity, yield-to-call, and other yield measures in Excel. Lastly, we teach you how to value bonds from scratch and compare and interpret various risk and return indicators.

Sign up now and master your investment knowledge and skills!",financial analysis,"Are you looking to expand your knowledge and skills in the world of fixed income investments? In this comprehensive course, you will learn the basics of fixed income securities, the markets they are traded in, and the most common valuation techniques. Be prepared to take your investment career to the next level!"
Accounting and Financial Statement Analysis,accounting-and-financial-statement-analysis,excel,"This Accounting and Financial Statement Analysis course will guide you through the basics of bookkeeping, the main accounting principles, and the practical applications of financial statement analysis.

Accounting is an essential skill for people pursuing a career in finance and a vital function for businesses. Accounting experts help track revenue and expenses, ensure compliance with local laws and regulations, and provide internal and external stakeholders with the quantitative financial information needed for decision-making. In this Accounting and Financial Statement Analysis course, you will learn how to book real business transactions and assess their impact on a company’s financial performance. 

We cover the meaning of debits and credits, T-accounts, accrual accounting, cash flow computations, and the importance of timing of payments. Next, we touch on the essence of financial statement analysis and the most common types of ratios tracked by investors, including activity, profitability, liquidity, solvency, and valuation ratios. Finally, we demonstrate the practical applications of accounting and financial statement analysis with several extensive case studies. 

By the end of this Accounting and Financial Statement Analysis course, you will be able to book basic accounting transactions, prepare core financial statements, and analyze the financial indicators of real-life companies, such as P&G, Tesla, and others.

Sign up now to enhance your finance career and master the art of accounting and financial statement analysis!",financial analysis,"Unlock the secrets of accounting and financial statement analysis and take your career to the next level. Through hands-on instructions, practical examples, and real-life business case studies, you'll learn the fundamental concepts and techniques used in accounting and financial analysis."
Fundamentals of Financial Reporting,fundamentals-of-financial-reporting,excel,"True and fair financial reports are crucial for the financial operations of companies from all industries. They provide valuable business performance information to a wide range of stakeholders, including the firm’s internal management and external investors.

In the Fundamentals of Financial Reporting course, you will learn how to read, understand, and analyze the core financial statements (Income Statement, Balance Sheet, Statement of Changes in Equity, and Cash Flow Statement) and the supplementary financial information (Management Discussions and Analysis, Audit Reports, Notes to the Financial Statements, etc.) published in the Annual Report of a company.

We examine the key aspects of revenue and expense recognition, learn how to calculate EPS and DEPS, distinguish between operating and non-operating components of the Income Statement, and much more.

The Fundamentals of Financial Reporting course covers the specifics of the major current and non-current assets and liabilities and how to evaluate a company’s liquidity and solvency positions.
You will learn to construct a Cash Flow Statement in Excel, convert cash flows from the Indirect to the Direct method, and the difference between Free Cash Flow to the Firm (FCFF) and Free Cash Flow to Equity (FCFE).
We also introduce the concept of “quality” of financial reporting and discuss the possible motivations for low-quality financial reports, the Fraud Triangle, and the most common accounting warning signs.

Sign up now to master your financial reporting skills and take you finance career to the next level!",financial analysis,"This course is designed to equip you with the knowledge and skills necessary to effectively read, analyze, and interpret financial statements. You will learn to confidently navigate the complex world of financial reporting, evaluate a company's financial health, identify potential risks, and make strategic financial decisions."
Building a 3-Statement Model in Excel,building-a-3-statement-model-in-excel,excel,"In this practical course, you will learn to build a 3-statement financial model in Excel. Starting from the basic accounting transactions, we show you how specific business activities affect a company‘s performance and financial statements.

We will illustrate how to apply the double-entry principle of accounting and how to link the Income Statement, Balance Sheet, and Cash Flow Statement in a single comprehensive financial model.
We also teach you to prepare a financial statements framework and then add a forecast period. This will enable you to add different scenarios and project a company’s financial performance under various assumptions.

Moreover, you will learn how to structure fixed assets roll-forward, financial liabilities, and equity schedules and link them to the Income Statement, Balance Sheet, and Cash Flow Statement. 
Knowing how to create a 3-statement financial model in Excel will help you analyze the published historical information of a company and prepare the budget and forecast in the same format. This is an important skill for accountants, financial analysts, FP&A professionals, and everyone who participates in business decision-making.

Enrol now to master your financial modeling skills to the next level!",financial analysis,"Take your financial modeling skills to the next level! In this hands-on course, you will learn to create an Income Statement, Balance Sheet, and Cash Flow Statement from scratch and prepare a comprehensive forecast model in Excel."
Financial Ratio Analysis ,financial-ratio-analysis,excel,"Calculating and interpreting financial ratios is a valuable skill for every seasoned financial professional. By the end of this Financial Ratio Analysis course, you will be able to understand and analyze activity, liquidity, solvency, profitability, and valuation ratios and integrate them into a comprehensive financial analysis framework in Excel.

You will learn what the ROE, P/E, EPS, ROA, and GPM abbreviations mean and how to interpret and apply them in financial analysis. We will teach you to recognize whether a company is generating sufficient profits to maintain sustainable operations or is heavily in debt and headed to insolvency. You will learn how to spot potential liquidity issues and significant cash shortages and assess whether a firm is currently under or overvalued by the market using its published financial statements and supplementary information.

Furthermore, we discuss a key technique called the DuPont Analysis, which compiles several ratios into a comprehensive financial analysis framework. This is à must-know for everyone interested in becoming a seasoned professional in the field. By the end of the Financial Ratio Analysis course, you will be able to compute financial ratios commonly employed in equity and credit analysis. You will also learn the meaning of segment reporting and how to use ratio analysis to model and forecast earnings.

We tackle several categories of financial multiples with practical examples and challenges in Excel. Most importantly, you will evaluate the financial performance and position of a real company using ratio analysis.

Sign up now to enhance your finance career and take the next step towards mastering the art of financial ratio analysis.",financial analysis,"In this course, you will learn to evaluate a company’s financial position and overall performance using ratio analysis. We will guide you through the process of calculating and interpreting various efficiency, liquidity, solvency, profitability, and valuation multiples."
Corporate Finance ,corporate-finance,excel,"The primary goal of corporate finance is to maximize shareholder value through capital budgeting, financing, and net working capital activities. Capital budgeting is an important part of the decision-making process companies go through when determining whether to invest in a particular long-term project or asset. Corporate finance deals with funding sources and capital structure. And lastly, the role of working capital management is to ensure that a company has the funds for day-to-day operations and that its assets are invested productively.

This Corporate Finance course will guide you through the core principles of capital budgeting and how to determine the firm’s cost of capital. We calculate the Weighted Average Cost of Capital (WACC) and examine its main components. We show you how to find the cost of debt, equity, and preferred equity, interpret the Marginal Cost of Capital schedule, and estimate the cost of equity in developing countries.

Our Corporate Finance course touches on several topics, including effective working capital management, primary and secondary sources of liquidity, and factors that influence a firm’s liquidity position. Moreover, we discuss how to compare a company’s liquidity measures with those of peer companies, the meaning of net daily cash position, and the main techniques for managing accounts receivables and inventory.

You will learn about the basic principles of capital budgeting, the meaning of capital rationing, and how to differentiate between independent and mutually exclusive projects. Next, we introduce the measures financial analysts use when deciding whether to accept or reject a project, such as the Net Present Value (NPV), Internal Rate of Return (IRR), etc. We complete the topic with a practical example of building a capital budgeting model from scratch in Excel.
 
We also examine the role of fixed costs in a firm’s cost structure and in determining profitability. We analyze the effect of financial leverage on net income and return on equity and calculate the degree of operating, financial, and total leverage.

The Corporate Finance course also covers the role of corporate governance and how environmental, social, and governance factors can be used in investment analysis. We explain the mechanisms of managing stakeholder relationships and mitigating associated risks. Lastly, we define the factors relevant to the analysis of corporate governance and stakeholder management.

Our expert-led program is designed for finance professionals and those seeking to excel in the field. Don't wait—enroll now and gain a competitive edge to advance your career.",financial analysis,"Learn through hands-on projects how corporate finance adds value to the company. We study the principles of corporate finance, including capital budgeting, cost of capital, working capital management, and ESG investing."
Fundamentals of Financial Markets,fundamentals-of-financial-markets,theory,"Being a financial analyst is not easy. You have a lot on your plate, always gathering and processing information, making important investment decisions, trading securities, hedging various risks, and investing capital. To help you complete these tasks successfully, you need to understand the characteristics of the markets in which they are executed.

Our Fundamentals of Financial Markets course provides a structural overview of financial markets and their operating characteristics. It touches on several topics, starting from asset classification and the financial system’s primary functions. You will learn the difference between financial instruments such as currencies, securities, commodities, and real assets, which is a must-know for all successful financial analysts.

Moreover, we provide an overview of financial intermediaries (entities that facilitate the functioning of the financial system) and compare the trading positions an investor can take in an asset. You will learn about the benefits and risks of short and long positions and how traders finance them. We also explore the different trade orders, how markets process them, and the primary and secondary markets. And finally, we discuss the characteristics of a well-functioning financial system.

Next, this Fundamentals of Financial Markets course examines security market indexes and their returns. Securities prices alone reveal little about a market’s investment horizon. Yet, investors’ success largely depends on comparisons between periods, companies, shares, ratios, industries, and so on.

Over 100 years ago, Charles Dow and Edward Jones set up the very first security market index. Today, hundreds of indicators help investors and analysts gauge the financial health of a firm or the overall market performance. Gradually, indexes became an inseparable part of the financial ecosystem. So, to improve your analytical skills, we delve into the choices and issues in index construction and management and the main uses of security market indexes.

We also define the three forms of market efficiency and discuss the implications for technical and fundamental analysis. Lastly, we explore several market anomalies and describe how they relate to investment strategies. By the end of this course, you will understand what drives the famous saying, “You can’t beat the market.”

We highly recommend enrolling for this Fundamentals of Financial Markets course if you want to pursue a career in investment banking or investment analysis. Sign up now and start learning.",financial analysis,"Our comprehensive Fundamentals of Financial Markets course teaches you to navigate the financial ecosystem confidently. Understand financial instruments, regulations, and market behavior through engaging lessons and real-world case studies. Empower yourself with the knowledge and skills to succeed in today's complex economic landscape."
Introduction to Industry and Company Analysis,introduction-to-industry-and-company-analysis,theory,"Have you ever wondered what tools companies use to survive the fierce competition in today’s business environment? Our Introduction to Industry and Company Analysis course answers this question. We start with the basics. First, we explore the uses of industry analysis, then, we learn to group firms and work with the industry classification systems. Next, we examine the factors that determine the firms' sensitivity to the business cycle and learn to create a “peer group” using the company’s industry classification. Throughout the industry and company analysis course, we cover the elements of comprehensive industry analysis and the principles of industry strategic analysis.

After covering the basics, we examine the effects of industry capacity, barriers to entry, and industry concentration on companies’ pricing power. In addition, we study the industry life cycle models and learn to categorize industries according to the five main stages: embryonic, growth, shakeout, mature, and decline. The course continues with the more practical aspects of industry analysis by comparing the characteristics of representative industries. Towards the end of the industry and company analysis course, we examine the economic determinants that affect an industry’s revenues and profits, such as GDP growth, level of interest rates, and inflation. To conclude, we summarize the elements that should be covered in a thorough company analysis.

Master the art of industry and company analysis with our comprehensive course—ideal for financial analysts and investment professionals seeking to upskill. Enroll today and join a community of experts committed to success.",financial analysis,"Unlock the secrets of successful industry and company analysis with our expert-led course. Learn how to analyze the firm-specific and industry factors that determine company prosperity. Explore the impact of industry capacity, barriers to entry, and concentration on pricing power."
Fundamentals of Equity Valuation,fundamentals-of-equity-valuation,theory,"They say investing isn’t about beating others at their game, but about controlling yourself at your own game. This means using the rights valuation tools to determine the best course of action. The Fundamentals of Equity Valuation course teaches you how to do that. It covers the fundamentals of equity valuation using discounted cash flow models, price multiples, and asset-based models. Valuation isn’t a one-size-fits-all process. The choice of a model depends mainly on the availability of information and the analyst’s confidence in its execution. This course teaches you how to evaluate, choose, and apply each of the valuation models.

You will learn the difference between market and intrinsic value and more about cash dividends and their subtypes. We also examine stock dividends, stock splits, reverse stock splits, and share repurchases. Throughout the valuation course, we overview present value models and focus on the Gordon growth dividend discount model. Then, we examine the use of multiples in valuation—more specifically, price-to-earnings, price-to-book value, price-to-sales, and price-to-cash flow ratios. Towards the end of the course, we describe the asset-based valuation models and their use in estimating equity value. Once you are familiar with all the tools analysts use to estimate the fair stock value, we summarize their advantages and disadvantages.

Designed for financial analysts and investment professionals, this course will equip you with the expertise and skills to make informed investment decisions. Don't wait to take your career to the next level. Invest in your future and enroll now!",financial analysis,"Take control of your investment game by mastering the fundamentals of equity valuation. Learn how to apply the three main types of valuation models, the difference between market and intrinsic value, and the impact of dividends and stock splits. Test your knowledge with practical tasks and real-life exercises."
Introduction to Equity Securities,introduction-to-equity-securities,theory,"The Introduction to Equity Securities course provides a detailed overview of global equity markets and their historical performance. In addition, we discuss what equity securities are, the different types, and their characteristics. We also examine the differences between public and private equity securities and explore their risk and return characteristics. You will also learn the difference between a firm’s cost of equity and return on equity, and investors’ required rate of return.

The Introduction to Equity Securities course is highly recommended if you wish to pursue a career in financial or investment analysis. Whether you're starting out or looking to refine your skills, it will equip you with the tools and insights to succeed. Make sure to enroll today, and see you soon!",financial analysis,Deepen your understanding of the role of equity in investment analysis and portfolio management. Take your first step towards financial mastery by exploring the types of equity securities and learning how to invest in non-domestic stocks.
Alternative Investments,alternative-investments,theory,"This course covers everything you need to obtain an alternative investment certification. 

We start by comparing traditional to alternative investments and describing the risks and benefits of each asset class. Next, we examine the main categories of alternative investments—private equity, hedge funds, real estate, commodities, infrastructure, and others.

You will learn how to evaluate the risk and return of alternative investments and how to use them to achieve specific investment goals. Furthermore, we illustrate the unique characteristics of alternative investments and the various investment strategies. 

By the end of the Alternative Investments course, you’ll be able to calculate and interpret management and incentive fees, net and gross returns, and various risk and return measures for alternative investments.

Sign up now and learn how to diversify your investment portfolio and explore new opportunities!",financial analysis,"This course will introduce you to the basic characteristics of alternative investments and show you how to evaluate various risk and return metrics. Our expert instructor will guide you through the world of alternative investments, including real estate, private equity, hedge funds, and commodities."
Advanced Financial Reporting - Inventory,advanced-financial-reporting-inventory,excel,"Inventory is an important line item in the Balance Sheet of many companies. Inventory management affects many departments in an organization—from production and sales to finance and operations.
In this Advanced Financial Reporting – Inventory course, we guide you through the key concepts in accounting and financial reporting for inventories.

You will learn about the four cost flow methods—FIFO, LIFO, Weighted Average Cost, and Specific Identification—and how to calculate various financial indicators under these assumptions. The Financial Reporting for Inventories course contains many practical examples and exercises showing you how to compare companies' financial statements using different valuation methods.

Throughout the course, you will work on real-world case studies and projects that will help you apply your new skills in a practical setting. By the end of the course, you will have the necessary knowledge and skills to create accurate inventory valuations, prepare financial statements and analyze inventory performance.

We also discuss the concept of Net Realizable Value (NRV) and its implications in financial reporting. We conclude the course by exploring the necessary inventory disclosures and the importance of inventory ratios for financial analysis.

Sign up now to master your financial reporting skills and take you finance career to the next level!",financial analysis,"Are you looking to gain a deeper understanding of financial reporting and inventory valuation?
In this course, we explore the different inventory costing methods, such as FIFO, LIFO, and WAVCO, and how they impact the financial statements of a company. You will also learn about the accounting treatment of inventory write-downs and how to value inventory under specific circumstances."
Advanced Financial Reporting - Long-term Liabilities,advanced-financial-reporting-long-term-liabilities,excel,"Solvency ratios measure a firm’s ability to meet its liabilities in the long term. A company may be liquid and profitable in the short run, but unable to meet its non-current obligations; this puts its sustainability at risk.

In this Advanced Financial Reporting – Long-Term Liabilities course, we teach you how to record and analyze non-current liabilities. We discuss in detail bonds, loans, leases, debt covenants, and pension plans.

We will talk about the accounting treatment of non-current liabilities under various accounting standards, such as IFRS and GAAP, and how they impact the financial statements of a company. We will also examine disclosures required in the financial statements related to non-current liabilities and how to analyze various solvency ratios. 

You will learn the relevant debt terminology and see what a debt amortization schedule looks like. By the end of the course, you will be able to calculate a loan’s effective interest rate, coupon payments, and outstanding balances.

Sign up now to master your financial reporting skills and take you finance career to the next level!",financial analysis,"This in-depth course encompasses the theory and practical applications of accounting and reporting for non-current obligations, including bonds, loans, pension plans, and leases. You will learn to construct a debt amortization schedule, calculate interest rates, and analyze various solvency metrics. "
Macroeconomics,macroeconomics,theory,"Macroeconomics studies the scope and behavior of the economy as a whole. In this Macroeconomics course, you will learn how countries “generate” national output, why unemployment prevents economic growth, how to measure inflation, and much more. Best of all, this course will help you understand the causes and impact of nations’ economic decisions.

We start by explaining what aggregate output is and how to measure it. We examine the difference between the income and expenditure approaches of GDP calculation and how they work in practice. You will also learn about the components of aggregate demand and supply, savings and investments, and their relation to economic growth.

Next, we discuss business cycle theories, how various sectors “behave” during the four phases (expansion, peak, contraction, and trough), and how to measure unemployment and inflation.
The Macroeconomics course also covers the topic of monetary and fiscal policy. You will learn about the money creation process, the monetary transmission mechanism, and the roles and objectives of central banks worldwide. We examine the tools and limitations of monetary and fiscal policies and the interaction between them.

Lastly, we discuss the cost and benefits of international trade. You will understand the difference between comparative and absolute advantage, the pros and cons of trade and capital restrictions, and the essence of trading blocs, common markets, and economic unions.

By the end of this Macroeconomics course, you will know what balance of payments (BOP) accounts are and how consumers', firms', and governments’ decisions affect them.

Join the thousands of professionals who have taken this course and are now using their new skills to enhance their careers. Sign up now and master the art of economic analysis!",financial analysis,"This course is designed to deepen your understanding of the global economy and the forces that drive it. It will help you understand macroeconomics policy, international trade, and the determinants of macroeconomic decisions. "
Who Does What in Finance,who-does-what-in-finance,theory,"This introduction to finance is perfect for those just getting started in finance or who want to make a career switch. Learn why companies need financial services in every stage of their development. Understand how a finance team is structured and the duties of those who work in corporate finance, compliance, commercial banking, investment banking, asset management, auditing, and consulting. We’ll review the internal finance operations a company needs to manage its business and the external interactions with financial institutions and service providers.

This intro to finance course recounts the exciting story of two friends starting their own businesses. On their journey, they realize financial resources are the fuel to determine whether their company is successful. You’ll witness how a firm builds its finance team in different stages of development. Naturally, business needs evolve in each step of a company’s growth path. Therefore, professionals with other degrees of specialization need to be involved.

Moreover, this story gives you a glimpse into what it’s like to pitch venture capital investors, work with commercial banks, negotiate M&A deals, assist auditors, and partner with investment bankers. Discover the world of finance in an entertaining and captivating rollercoaster story that will spark your desire to learn more.",financial analysis,Unlock the complexities of financial services in this intro to finance course. A concise overview of the different roles in finance and the finance products companies need throughout their lifecycle. 
Investment Banking,investment-banking,theory,"Are you looking for a comprehensive guide that helps you understand how the investment banking industry functions?
Do you wish to learn in-depth details about the four main areas of investment banking activity?
 
This is the perfect Investment Banking course for you. Take advantage of an industry primer that will prepare you for investment banking interviews, internships, and your first days on the job.
 
The course introduces you to the four main areas of investment banking activity: capital markets, advisory, trading and brokerage, and asset management. Then upon learning the foundational concepts, we delve deeper into the intricacies of each investment banking business line with dedicated course sections to each.
 
The capital markets division provides equity and debt underwriting services. Equity Capital Markets (ECMs) serves companies that raise equity in Initial Public Offerings (IPOs) and Seasoned Equity Offerings (SEOs). This part of the Investment Banking course addresses questions related to the motivation of companies to get listed, investors in an IPO, various IPO price-setting mechanisms employed by investment bankers, the execution of an IPO, and much more. The Debt Capital Markets (DCMs) division works with debt issuances. You’ll learn about the four types of bonds, why companies issue bonds instead of borrowing capital from commercial banks, the purpose of securitization and loan syndication, and much more.

The advisory division of investment banks offers M&A and Restructuring services to companies. Mergers & Acquisitions (M&A) is one of the most popular areas of investment banking. In this section, you’ll gain valuable knowledge about the practical reasons for a company’s desire to acquire another firm, the differences between corporate and financial buyers, a typical M&A deal process, and payment options in an M&A deal.

The trading and brokerage section of the courses focuses on the different types of securities traded by investment banks and the outlook of trading activities in an ever more algorithmic-driven environment.
 
The asset management activity of investment banks is discussed briefly by providing an overview of the types of asset management services offered by investment banks and making a risk-return comparison of different investment asset classes.
This comprehensive Investment Banking training course gives you a ringside view of how the banking industry functions. Make sure to enroll today, and see you on the inside.",financial analysis,"An inside look into the investment banking industry. Learn how investment bankers create value for clients and why companies pay millions for such services as IPO, debt underwriting, M&A, corporate restructuring, and asset management."
Discounted Cash Flow Valuation,discounted-cash-flow-valuation,theory,"Discounted Cash Flow valuation is the cornerstone of modern valuation theory—an intellectual exercise that requires business acumen, financial modeling skills, and a solid grasp of company valuation know-how. Whether you’re a financial analyst, an investment banker, or an investment analyst, our Discounted Cash Flow Valuation course will teach you a fundamental skill that is highly sought-after in the finance world.
 
This practical course straightforwardly introduces the theory behind DCF modeling. These lessons address the two key factors that drive company value, the importance of a business from an investor’s perspective, calculating a firm’s future cash flows, the discount rate for the time value of money, calculating the average weighted cost of capital, and obtaining a businesses’ value after the explicit forecast period. You’ll learn the fundamental theory behind Discounted Cash Flow valuation in less than one hour.

You'll apply your theoretical knowledge in the second part of the course and practice your DCF modeling skills in Excel, skipping no steps. In addition—to account for ambiguity—we'll build a few different scenarios into the model, allowing users to switch between them effortlessly. All of this will help you uncover the fair value of businesses through fundamental analysis, which will prove to be an indispensable skill throughout your career",financial analysis,A hands-on guide to DCF theory and modeling: how to value companies in the real world
Multiples Valuation,multiples-valuation,excel,"Multiples valuation is an intuitive, easy-to-understand framework that helps investment bankers, investment analysts, and finance professionals value companies. Sometimes multiples are used to obtain a quick proxy of a firm’s value based on its earnings. In other situations performing multiples valuation requires complex intellectual work that considers several subtleties, including suitable peers and adjustments for non-operating and non-recurring items.

In this Multiples Valuation course, theory and practice go hand in hand. We introduce the concept of relative valuation and its basic assumptions. Then you’ll learn about the different valuation multiples, including the difference between trading and transactional multiples. Moreover, the theoretical lessons cover some fundamental principles an analyst needs to remember to ensure their work respects valuation best practices.

In the second part of the course, we analyze a practical example of multiples valuation. You'll see that multiples require more time and can be hard to compute if done correctly and with great precision. In this case, there is a clear trade-off between valuation precision and time invested in research.

Multiples valuation is often used in conjunction with Discounted Cash Flow. It’s considered a best practice when the valuation results from both techniques are triangulated to determine a reasonable price range. 
Our Multiples Valuation course is perfect for aspiring investment bankers, investment analysts, and professionals who are already on the job and want to upskill. Start learning today to acquire these invaluable career-enhancing skills. See you on the inside!",financial analysis,This Multiples Valuation course is an in-depth guide for valuing a company using relative valuation.
